src_ip,dst_ip,src_port,dst_port,protocol,bytes,packets
192.168.1.116,9.129.209.76,40600,21,TCP,1842,120
94.149.125.135,10.0.0.82,46753,22,TCP,310,16
192.168.0.180,192.168.1.40,56930,443,UDP,1548,18
10.0.0.171,10.0.0.4,10887,143,UDP,57795,4
172.16.0.58,197.151.42.91,37626,8080,UDP,1453,8
10.0.0.215,10.0.0.53,7135,443,UDP,8098,31
192.168.0.119,192.168.1.62,2111,143,UDP,207,30
172.16.0.49,10.0.0.54,54370,3389,TCP,14616,37
192.168.0.156,6.78.110.222,24937,443,UDP,7908,4
192.168.0.243,192.168.0.82,38261,80,TCP,25069,11
192.168.0.147,10.0.0.92,41556,21,TCP,14905,213
172.16.0.165,172.16.0.28,6648,53,TCP,1741,10
192.168.1.224,192.168.1.20,4736,53,TCP,9755,28
172.16.0.119,144.13.215.23,50559,53,TCP,5356,5
192.168.1.156,55.160.176.241,15105,31337,TCP,673399,1781
10.0.0.91,172.16.0.134,64860,25,TCP,338,19
10.0.0.127,172.16.0.77,46667,143,TCP,1918,18
47.232.7.43,192.168.1.108,18284,21,TCP,1721,8
192.168.0.241,146.249.20.94,57319,22,UDP,456,36
192.168.0.161,149.52.56.118,61788,3389,TCP,9653,15
172.16.0.35,173.79.154.161,21398,80,TCP,16099,14
10.0.0.78,172.16.0.29,18714,21,TCP,2109,7
192.168.1.21,105.215.75.148,33411,5555,TCP,291452,866
192.168.0.113,217.160.191.22,45732,110,TCP,11198,12
192.168.0.148,172.16.0.93,14544,443,TCP,186,7
10.0.0.182,10.0.0.120,49861,143,OTHER,1675,25
192.168.0.245,70.73.100.111,39377,443,UDP,424,46
70.142.196.77,192.168.1.16,19314,21,TCP,1214,5
192.168.1.38,192.168.0.169,10306,25,UDP,11331,56
10.0.0.247,186.234.141.3,65364,53,TCP,1401,26
10.0.0.74,3.255.75.120,45648,53,OTHER,4067,21
192.168.1.61,151.5.116.106,50010,21,TCP,1961,15
192.168.0.175,10.0.0.35,28307,21,UDP,553,8
135.218.146.83,172.16.0.82,50654,3389,TCP,493,6
10.0.0.225,192.168.1.159,65080,80,TCP,1472,26
10.0.0.231,192.168.1.171,32127,110,TCP,1737,5
192.168.0.118,192.168.0.142,40010,53,TCP,455,28
192.168.1.213,10.0.0.71,21811,25,TCP,8461,46
10.0.0.79,172.16.0.173,16854,80,UDP,1399,18
69.99.150.234,172.16.0.82,17016,443,TCP,3362757,12513
10.0.0.42,148.186.180.23,5685,53,TCP,27616,28
172.16.0.27,192.168.1.163,30128,21,UDP,5739,30
172.16.0.190,177.122.87.81,45683,443,UDP,15932,85
172.16.0.237,45.101.143.247,26768,443,TCP,59486,450
106.248.143.21,192.168.0.234,10011,55144,TCP,173,1
192.168.0.127,181.182.112.114,47759,9999,TCP,317645,671
10.0.0.211,172.16.0.220,44157,3389,UDP,4179,13
192.168.1.71,10.0.0.224,47699,143,TCP,155,49
190.181.229.234,172.16.0.162,30499,21,TCP,792,29
172.16.0.3,192.168.1.166,43650,3389,TCP,429,40
192.168.1.7,192.168.0.137,40878,110,TCP,2919,10
192.168.0.73,47.47.39.127,56377,25,TCP,1216,83
172.16.0.79,91.0.25.65,10049,25,TCP,36687,76
192.168.1.122,192.168.0.208,45490,110,TCP,10067,6
105.70.133.204,192.168.0.199,19825,443,UDP,1587635,13914
172.16.0.83,192.168.0.27,59992,53,TCP,1248,25
192.168.1.142,172.16.0.197,25746,53,UDP,1422,85
33.232.151.236,172.16.0.134,8207,53,TCP,2004071,62581
172.16.0.130,90.220.244.78,52243,8080,TCP,3096,2
192.168.1.57,10.136.122.17,35897,443,UDP,558,69
192.168.1.171,108.108.114.199,30818,21,TCP,19028,6
192.168.1.147,191.66.232.163,42410,25,UDP,17875,7
10.0.0.96,81.62.4.82,46131,80,TCP,8094,30
192.168.1.137,10.0.0.103,41567,80,OTHER,400,40
192.168.0.143,192.168.0.158,43257,110,OTHER,1081,20
10.0.0.199,192.168.1.88,13168,21,UDP,8308,16
221.195.196.114,192.168.1.58,14506,24860,TCP,87,3
172.16.0.215,15.138.54.86,39974,443,TCP,299,33
172.16.0.16,10.0.0.203,29211,143,OTHER,181,55
172.16.0.73,172.16.0.163,19586,3389,TCP,11274,13
172.16.0.55,172.16.0.30,19267,143,TCP,1125,75
172.16.0.33,172.16.0.251,48741,53,UDP,583,6
172.16.0.128,71.215.61.32,30697,53,TCP,5923,107
192.168.1.29,78.38.135.85,46107,3389,TCP,3012,10
10.0.0.100,192.168.1.224,58136,53,UDP,2108,85
124.117.229.202,172.16.0.59,38336,54253,TCP,72,3
172.16.0.141,113.60.188.91,13714,25,TCP,452,45
156.184.171.250,172.16.0.230,43752,24558,TCP,160,2
10.0.0.4,192.168.0.73,55122,3389,TCP,1312,15
192.168.1.150,10.0.0.168,2988,80,TCP,1201,112
148.214.62.217,192.168.1.156,31978,43202,TCP,174,3
188.209.185.21,10.0.0.144,34161,22,TCP,941,25
192.168.0.178,127.30.108.4,44965,8080,UDP,8435,13
10.0.0.155,56.52.142.184,40863,443,TCP,1290,6
10.0.0.195,172.16.0.168,11116,21,UDP,8311,5
172.16.0.97,172.16.0.207,11582,53,TCP,3387,8
192.168.0.90,172.16.0.132,5137,53,TCP,4634,15
192.168.0.250,20.87.4.153,24102,143,TCP,1603,26
172.16.0.175,10.0.0.209,22003,8080,TCP,5763,43
172.16.0.151,10.0.0.80,13513,80,UDP,2630,4
142.107.62.96,10.0.0.190,48531,80,TCP,699013,14578
10.0.0.22,161.236.93.97,52299,110,TCP,13718,26
201.6.63.79,10.0.0.215,18359,3389,TCP,1108,19
192.168.0.101,204.11.211.19,32908,443,UDP,40471,53
10.0.0.43,172.16.0.111,58882,143,TCP,7406,16
10.0.0.237,215.247.192.247,31940,3389,TCP,754,8
192.168.0.172,192.168.0.213,4546,443,UDP,484,41
192.168.1.194,192.168.0.104,44938,80,UDP,2113,19
172.16.0.11,172.16.0.62,14709,3389,UDP,44646,16
10.0.0.209,28.196.219.52,38192,25,TCP,6645,48
192.168.0.52,172.16.0.209,35661,8080,UDP,10978,48
43.60.147.71,10.0.0.73,32916,443,TCP,4046481,27350
192.168.0.179,113.232.58.6,33720,4444,TCP,8445078,2968
172.16.0.2,192.168.0.130,19610,22,TCP,206,27
192.168.0.148,172.16.0.250,19409,25,TCP,117,60
192.168.1.219,192.168.0.25,44622,443,TCP,8292,88
192.168.0.169,192.168.1.31,64981,25,TCP,857,33
10.0.0.168,10.0.0.118,47894,53,UDP,919,10
10.0.0.133,60.50.64.130,8781,3389,TCP,8259,6
192.168.1.119,172.16.0.38,2857,22,TCP,41125,79
192.168.0.74,67.54.118.171,19284,5555,TCP,111567,697
192.168.1.84,22.64.137.71,32584,8080,UDP,14442,7
192.168.1.60,77.252.174.13,37994,12345,TCP,356105,856
172.16.0.164,71.230.89.68,60683,25,TCP,315,10
113.92.144.12,10.0.0.90,40503,42940,TCP,102,2
209.107.220.133,10.0.0.148,58668,40336,TCP,120,1
172.16.0.61,10.0.0.5,43207,3389,UDP,2956,39
10.0.0.141,192.168.1.128,7191,143,TCP,710,32
5.225.4.120,192.168.1.248,24533,31471,TCP,182,1
74.237.217.147,10.0.0.42,63958,24989,TCP,159,3
147.190.212.19,172.16.0.225,19576,3389,TCP,250,15
10.0.0.237,213.134.110.194,2816,9999,TCP,716308,1699
192.168.1.61,192.168.1.89,65318,443,UDP,1307,47
172.16.0.158,192.168.1.41,35217,22,OTHER,5583,81
192.168.1.91,192.168.0.102,33935,110,UDP,303,61
192.168.1.162,192.168.1.53,3202,53,TCP,948,20
10.0.0.209,78.157.63.180,33735,143,OTHER,2461,91
214.13.189.53,10.0.0.242,63144,37432,TCP,149,3
192.168.0.146,19.114.198.224,31319,443,TCP,69534,15
192.168.1.122,172.16.0.91,18428,443,TCP,636,5
172.16.0.88,10.0.0.43,14039,25,UDP,3045,7
192.168.1.130,114.57.39.61,14396,9999,TCP,638886,853
172.16.0.97,164.102.100.65,33208,143,TCP,6144,5
186.222.218.201,192.168.1.207,8181,21,TCP,1677,26
172.16.0.101,32.153.207.124,65425,53,TCP,2877,16
172.16.0.70,192.168.0.150,31216,443,UDP,8503,30
172.16.0.101,57.137.253.53,12232,8080,TCP,2359,11
172.16.0.194,192.168.1.16,41125,22,UDP,6307,32
192.168.1.161,192.168.0.8,41531,21,TCP,223,10
192.168.0.104,71.252.221.28,45664,80,TCP,1334,3
172.16.0.122,192.168.0.248,46682,110,UDP,1618,39
33.17.220.7,192.168.0.254,5809,8676,TCP,171,3
192.168.1.30,83.219.95.92,17101,443,TCP,4209,33
172.16.0.211,201.101.39.186,44799,3389,TCP,3494,36
172.16.0.224,29.23.8.146,45591,22,TCP,702,7
192.168.1.23,192.168.1.23,43597,80,UDP,59,24
217.180.22.154,192.168.1.174,16405,443,TCP,1312711,97990
109.181.65.103,172.16.0.232,46697,53,TCP,1958928,34864
192.168.0.193,172.16.0.164,30304,443,TCP,6235,11
172.16.0.9,40.191.162.86,12192,3389,UDP,5021,12
172.16.0.222,203.208.134.134,48359,80,UDP,33719,22
10.0.0.221,172.16.0.58,12177,443,TCP,11334,35
10.0.0.34,10.0.0.150,41490,110,UDP,2695,9
10.0.0.202,132.191.65.159,36627,3389,UDP,14342,64
172.16.0.177,16.62.27.180,14463,21,UDP,7031,18
